member_id,og_id,name,party,house,startDate,endDate
2538,234,Mr Gary Streeter,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2539,234,Mr Gary Streeter,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2540,234,Mr Gary Streeter,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2541,3689,Lord Rana,Conservative,2.0,2016-12-07T00:00:00,
2542,3689,Lord Rana,Crossbench,2.0,2004-06-16T00:00:00,2016-12-06T00:00:00
2543,4402,Douglas Chapman,Scottish National Party,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2544,4402,Douglas Chapman,Scottish National Party,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2545,4402,Douglas Chapman,Scottish National Party,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2546,69,Mr Oliver Heald,Conservative,1.0,1992-04-09T00:00:00,2015-03-30T00:00:00
2547,69,Mr Oliver Heald,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2548,69,Mr Oliver Heald,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
